ProteinIDs,gene,peptides,intensity_total_01,intensity_L_01,intensity_H_01,intensity_total_1,intensity_L_1,intensity_H_1,intensity_total_10,intensity_L_10,intensity_H_10,intensity_total_100,intensity_L_100,intensity_H_100,intensity_total_1000,intensity_L_1000,intensity_H_1000,MaxQuant_ratio_type,maxquant_ratio_01,maxquant_ratio_1,maxquant_ratio_10,maxquant_ratio_100,maxquant_ratio_1000,maxquant_ratio_normalized_01,maxquant_ratio_normalized_1,maxquant_ratio_normalized_10,maxquant_ratio_normalized_100,maxquant_ratio_normalized_1000,promoter,date,wt_sequence,control_sequence,strain,media,binding_additions,replicate,spec_machine,labeling
P0ADP2,yigI,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0ADR6,rlmM,1,30888000,29397000,1491100,29650000,19406000,10243000,10825000,1552100,9273000.0,5171900,0,5171900,4485400,0.0,4485400,Median,0.050723,0.5357,4.6113,,,0.65443,0.72459,0.62782,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0ADR8,ygdH,1,8519900,8081500,438430,0,0,0,5498300,0,5498300.0,2493400,0,2493400,0,0.0,0,Median,0.07128,,,,,0.72852,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0ADS6,yggE,8,350730000,336150000,14583000,259760000,170990000,88771000,110140000,16616000,93522000.0,52217000,1332400,50885000,28964000,291550.0,28672000,Median,0.044878,0.54171,4.903,27.579,31.14,0.59722,0.72828,0.68978,1.184,48.064,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0ADT2,ygiB,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0ADT5,ygiC,2,3604800,3299000,305850,13050000,7989800,5060200,0,0,0.0,0,0,0,373490,0.0,373490,Plateau,0.11752,0.48265,,,,1.1321,0.68164,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0ADU5,ygiW,1,0,0,0,5117400,3012100,2105300,0,0,0.0,0,0,0,0,0.0,0,Median,,0.67947,,,,,0.92954,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0ADV7,mlaC,7,77850000,70249000,7600700,226490000,132120000,94376000,9792300,965970,8826400.0,3342300,133690,3208600,6314000,119530.0,6194500,Median,0.16612,0.66165,8.1181,27.556,29.265,2.1258,0.8834,1.3198,8.0499,45.171,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0ADX1,yhfA,3,43410000,41358000,2051500,22518000,13621000,8896900,4021000,498650,3522300.0,5247100,0,5247100,0,0.0,0,Median,0.052969,0.68335,7.306,,,0.68431,0.91856,1.2252,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0ADY1,ppiD,16,123080000,117290000,5790000,159390000,105970000,53419000,27882000,6590800,21291000.0,21167000,651720,20515000,8330800,0.0,8330800,Median,0.060157,0.46002,3.1452,18.532,,0.69827,0.622,0.45847,1.925,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0ADY3,rplN,3,151280000,140490000,10784000,253940000,134200000,119740000,95554000,7863400,87690000.0,62463000,1462700,61000000,94551000,0.0,94551000,Median,0.080276,0.87143,11.355,41.926,,1.0896,1.1949,1.3174,0.90003,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0ADY7,rplP,6,1180300000,1091100000,89160000,1631300000,884240000,747040000,212000000,19696000,192310000.0,292420000,5090600,287330000,113030000,656540.0,112380000,Median,0.078804,0.84026,8.9958,54.584,45.257,1.0647,1.1061,1.091,1.1285,69.854,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0ADZ0,rplW,7,121350000,111060000,10290000,223550000,124360000,99192000,107060000,9187500,97874000.0,70227000,1296500,68930000,98830000,358680.0,98471000,Median,0.088342,0.81601,9.7837,41.958,79.758,1.1256,1.0507,1.3464,2.3684,123.11,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0ADZ4,rpsO,3,93423000,85550000,7873200,224350000,122550000,101800000,46454000,5086900,41367000.0,27477000,399250,27077000,24581000,137570.0,24444000,Median,0.088284,0.80533,7.0309,24.529,198.64,1.2188,1.0799,0.94174,0.60096,306.61,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AE06,acrA,5,10057000,9354500,702990,24393000,13887000,10506000,5168500,571640,4596800.0,14090000,0,14090000,6445200,0.0,6445200,Median,0.088615,0.80998,4.3688,,,0.94037,1.1359,0.69499,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AE08,ahpC,6,1550700000,1475900000,74742000,2591000000,1677200000,913740000,585920000,80149000,505770000.0,343870000,10185000,333690000,498670000,3398800.0,495270000,Median,0.053112,0.55211,6.412,31.93,142.04,0.71448,0.71932,0.77453,0.88067,219.23,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AE12,amn,2,18844000,17806000,1038100,15307000,10329000,4978900,7155500,1042600,6113000.0,3649800,75208,3574500,0,0.0,0,Median,0.051188,0.50077,4.8033,35.92,,0.61724,0.6845,0.73737,9.3625,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AE18,map,3,26441000,24232000,2209000,22436000,11759000,10677000,2039300,200830,1838500.0,11274000,276370,10998000,13050000,233150.0,12817000,Median,0.10631,0.89195,9.3023,54.049,101.82,1.185,1.2062,1.7902,2.2331,157.16,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AE52,bcp,6,132140000,121010000,11132000,230400000,125290000,105110000,33469000,3749600,29719000.0,9486200,0,9486200,23298000,0.0,23298000,Median,0.084449,0.83501,5.8085,,,1.0294,1.1601,0.87445,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AE78,corC,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AE88,cpxR,1,72898000,67607000,5290600,103110000,63844000,39271000,9822600,1372400,8450200.0,11005000,248520,10757000,8034800,0.0,8034800,Median,0.068943,0.70168,6.5725,57.614,,0.94558,0.92707,0.9251,2.5067,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AE91,creA,1,33465000,26283000,7182200,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,0.27573,,,,,3.5533,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEB2,dacA,3,19813000,18795000,1018000,101510000,68898000,32613000,11800000,1645700,10155000.0,6377100,0,6377100,2964300,0.0,2964300,Median,0.067878,0.53232,6.3345,,,0.82732,0.74583,0.99665,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEB7,yoaB,1,0,0,0,75150000,45304000,29845000,0,0,0.0,0,0,0,0,0.0,0,Median,,0.6279,,,,,0.82886,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AED0,uspA,5,181540000,171950000,9591800,348110000,221160000,126950000,64968000,9336600,55632000.0,42848000,1569000,41279000,5765400,21191.0,5744200,Median,0.063887,0.59731,5.6832,20.615,39.662,0.81852,0.79102,0.79593,0.892,61.219,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEE1,dcrB,2,0,0,0,0,0,0,7381400,1458300,5923000.0,0,0,0,0,0.0,0,Median,,,2.5627,,,,,0.38985,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEG4,dsbA,2,0,0,0,43350000,23998000,19352000,0,0,0.0,0,0,0,5845500,0.0,5845500,Median,,0.78265,,,,,1.0091,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEG6,dsbC,2,0,0,0,0,0,0,0,0,0.0,3582200,87779,3494400,0,0.0,0,Median,,,,35.934,,,,,9.6147,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEH5,elaB,2,16037000,15253000,784010,79362000,49706000,29656000,9627500,970070,8657400.0,0,0,0,0,0.0,0,Median,0.052739,0.56636,6.8345,,,0.60509,0.72936,0.97031,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEJ2,entC,4,243430000,220390000,23036000,194890000,129240000,65652000,31266000,4362700,26903000.0,6662100,0,6662100,46678000,96279.0,46582000,Median,0.091031,0.78076,7.1115,,146.0,1.2365,0.99587,0.88379,,225.36,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEK2,fabG,2,51643000,47047000,4595700,117120000,58889000,58227000,46539000,3207100,43332000.0,16970000,1906000,15064000,15748000,0.0,15748000,Median,0.12146,0.70888,9.9834,7.1495,,1.6301,0.92529,1.2791,0.17743,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEK4,fabI,3,167820000,146270000,21552000,402370000,219320000,183050000,19626000,1604900,18021000.0,0,0,0,21639000,0.0,21639000,Median,0.096564,0.82598,10.008,,,1.3263,1.0738,1.2748,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEL6,fepB,4,20249000,18630000,1619300,27326000,14802000,12523000,10658000,1297700,9360400.0,11522000,17904,11505000,11423000,0.0,11423000,Median,0.07739,0.79483,8.1086,118.85,,0.81927,1.1092,1.3061,14.882,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEM9,fliY,9,446420000,415370000,31046000,635920000,356980000,278940000,205450000,21597000,183850000.0,100350000,2925300,97429000,116380000,720450.0,115660000,Median,0.078199,0.73727,8.2981,28.754,100.34,0.95521,0.97105,1.2421,0.93812,154.87,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEN8,fucU,1,33773000,32130000,1643500,31136000,20499000,10637000,8140500,1465700,6674800.0,6530600,223910,6306700,2980100,0.0,2980100,Median,0.040952,0.49976,5.138,39.031,,0.52751,0.66824,0.77927,4.5006,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEP3,galU,8,582740000,554960000,27779000,854210000,567070000,287140000,71666000,10442000,61224000.0,101350000,3165600,98183000,53322000,179710.0,53143000,Median,0.050183,0.53312,5.3947,25.373,8.0599,0.67247,0.70307,0.8002,1.5424,12.441,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEQ3,glnH,12,355280000,329530000,25751000,485250000,326990000,158250000,130120000,21659000,108460000.0,35927000,1005400,34921000,32267000,0.0,32267000,Median,0.051084,0.47464,5.0385,30.1,,0.69344,0.62621,0.62042,0.5971,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AES0,gss,6,110080000,104590000,5491200,91401000,59953000,31448000,13946000,2663800,11282000.0,0,0,0,4151000,0.0,4151000,Median,0.058238,0.47876,2.9483,,,0.7644,0.66873,0.45383,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AES4,gyrA,8,63284000,58876000,4407900,69252000,36931000,32321000,26079000,2682600,23396000.0,5981500,0,5981500,8645700,47496.0,8598200,Median,0.075227,0.79235,5.3499,,251.15,0.96856,1.0867,0.85111,,387.65,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AES6,gyrB,6,10265000,9738000,527390,0,0,0,0,0,0.0,2100600,0,2100600,6433200,0.0,6433200,Median,0.057634,,,,,0.61502,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AES9,hdeA,4,14656000,12710000,1945700,120670000,58818000,61850000,25689000,1345100,24344000.0,24161000,287030,23874000,9838200,164760.0,9673400,Median,0.139,1.0476,12.296,45.281,29.457,1.0618,1.4509,1.7788,3.6012,12.672,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AET2,hdeB,4,6324100,5694100,630060,99585000,40724000,58861000,41128000,3805400,37323000.0,12850000,0,12850000,19424000,1671400.0,17753000,Median,0.10301,1.1456,10.376,,4.8333,1.0003,1.5171,1.7645,,7.4603,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AET8,hdhA,6,332590000,314460000,18134000,470750000,298180000,172570000,105020000,14378000,90646000.0,102550000,26396000,76151000,101140000,1286100.0,99853000,Median,0.054082,0.55317,6.7017,7.7817,45.165,0.71736,0.7202,0.76792,0.14817,69.712,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEU0,hisJ,12,620680000,578290000,42388000,286870000,159630000,127240000,175720000,18003000,157720000.0,188880000,4538700,184340000,186970000,1870300.0,185100000,Median,0.083777,0.76901,9.2232,63.838,120.54,1.0408,1.0321,1.1879,1.3377,75.657,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEU7,skp,8,340250000,314740000,25506000,726590000,430760000,295830000,162670000,20434000,142240000.0,66422000,1357900,65064000,74521000,395630.0,74125000,Median,0.078058,0.65136,7.0384,33.451,183.69,0.97143,0.86606,0.95916,2.3026,283.53,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEX9,malE,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEY5,mdaB,3,0,0,0,59159000,38772000,20387000,0,0,0.0,0,0,0,0,0.0,0,Median,,0.47907,,,,,0.63146,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEZ1,metF,3,102060000,94024000,8034100,66860000,38570000,28290000,18080000,2252800,15828000.0,35625000,866630,34759000,12652000,126570.0,12525000,Median,0.08552,0.68133,7.5002,25.739,38.16,1.1321,0.9122,0.961,0.72429,58.9,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEZ3,minD,8,134280000,129310000,4970400,158060000,104280000,53780000,56763000,8904500,47859000.0,5622500,111550,5510900,64466000,674510.0,63791000,Median,0.041951,0.49787,5.3727,19.896,64.992,0.59332,0.6784,0.7433,4.9967,44.197,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AEZ9,moaB,1,22304000,19971000,2332500,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,0.10082,,,,,1.2618,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AF08,mrp,3,0,0,0,8820900,5422400,3398500,0,0,0.0,0,0,0,0,0.0,0,Plateau,,0.46413,,,,,0.61167,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AF18,nagA,3,46349000,43626000,2723500,41143000,25808000,15335000,11240000,1776100,9464400.0,10671000,328850,10342000,5073800,0.0,5073800,Median,0.054029,0.62121,6.9298,17.702,,0.67019,0.86613,1.1016,1.2099,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AF20,nagC,2,9892100,9892100,0,0,0,0,0,0,0.0,1142700,0,1142700,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AF28,narL,4,56245000,52594000,3651000,23451000,15041000,8410600,0,0,0.0,6392600,251400,6141200,6413100,0.0,6413100,Median,0.070321,0.56443,,12.306,,0.85897,0.78298,,1.4621,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AF50,yjbR,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AF93,ridA,4,165730000,156820000,8910300,435720000,251780000,183930000,205460000,22193000,183270000.0,186640000,3479000,183160000,97085000,574990.0,96510000,Median,0.064194,0.76548,7.0615,57.52,130.58,0.87501,1.035,0.95466,0.98254,201.55,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AF96,tabA,2,40386000,35233000,5152300,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Linear,0.29296,,,,,3.3911,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AFD6,nuoI,1,20861000,20055000,805450,32092000,21107000,10985000,5213100,868730,4344300.0,0,0,0,0,0.0,0,Median,0.035157,0.51169,5.7848,,,0.051756,0.64249,2.2965,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AFF6,nusA,8,347790000,324370000,23421000,634910000,361440000,273470000,51516000,4994100,46522000.0,40421000,1100500,39321000,39364000,669820.0,38694000,Median,0.082429,0.79931,8.2608,29.202,38.902,1.0769,1.0522,1.4527,1.8849,60.045,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AFG3,sucA,14,178640000,159080000,19564000,336210000,173840000,162370000,82601000,8969800,73632000.0,95855000,2797000,93058000,101190000,271300.0,100920000,Median,0.094787,0.89651,7.8333,20.409,30.554,1.261,1.1949,1.0589,1.2699,9.6497,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AFG6,sucB,7,865520000,808860000,56664000,1283100000,731980000,551130000,575670000,65196000,510470000.0,443950000,7670900,436280000,442960000,877640.0,442080000,Median,0.065348,0.73894,8.3136,54.654,318.74,0.87013,0.9666,0.96028,1.0043,491.98,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AFG8,aceE,24,1288600000,1202900000,85711000,1237200000,733980000,503190000,358690000,54889000,303800000.0,305510000,6149800,299360000,423260000,2546700.0,420720000,Median,0.073994,0.69387,5.9464,57.003,229.25,0.94943,0.92307,0.90606,1.8847,96.141,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AFH8,osmY,6,127950000,118190000,9763300,184150000,101310000,82835000,114980000,17758000,97227000.0,46803000,898080,45905000,149600000,1053700.0,148550000,Median,0.083089,0.78748,6.7545,62.359,332.22,1.0483,1.041,0.89616,1.5191,512.78,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AFI2,parC,4,25140000,24770000,370010,0,0,0,0,0,0.0,4042900,0,4042900,0,0.0,0,Median,0.11982,,,,,1.5314,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AFK0,pmbA,5,51258000,47919000,3338400,44874000,25233000,19640000,15037000,1881700,13156000.0,5486000,0,5486000,17851000,0.0,17851000,Median,0.074307,0.70165,7.1059,,,0.87323,0.91164,1.1119,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AFK9,potD,15,937980000,867610000,70368000,1578900000,883520000,695380000,338260000,37444000,300810000.0,401480000,10959000,390520000,231000000,5515600.0,225490000,Median,0.07638,0.76393,8.1779,55.465,36.338,0.97015,1.0074,1.0457,1.3771,56.088,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AFP6,ybgI,3,84204000,77156000,7048500,118560000,65012000,53550000,34300000,3511500,30788000.0,21665000,1272000,20393000,31572000,831270.0,30741000,Median,0.091025,0.78734,8.5568,10.233,29.134,1.1943,1.0681,1.1229,0.26133,44.969,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AFR4,yciO,1,0,0,0,29505000,18917000,10587000,0,0,0.0,0,0,0,0,0.0,0,Median,,0.5523,,,,,0.74765,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AFU8,ribC,2,36343000,31664000,4679000,75013000,43803000,31210000,9446000,1514300,7931700.0,0,0,0,0,0.0,0,Median,0.18168,0.56085,5.7451,,,2.3421,0.75751,0.82234,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AFX9,rseB,2,26663000,25376000,1287100,36496000,25218000,11278000,3805200,707750,3097400.0,4862000,104300,4757700,5209700,105450.0,5104200,Median,0.052187,0.4732,7.2995,31.149,16.266,0.58125,0.66078,1.3893,5.4313,25.106,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AFY8,seqA,4,77981000,73976000,4004300,120080000,82802000,37280000,43238000,7575000,35663000.0,9514200,396270,9118000,0,0.0,0,Median,0.056616,0.43313,3.9434,22.614,,0.72288,0.5883,0.6137,1.3436,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG07,rpe,2,83010000,77085000,5925100,326110000,188020000,138090000,15959000,1826100,14133000.0,8691300,125230,8566100,6166300,0.0,6166300,Median,0.11271,0.7257,8.0145,62.719,,1.4375,0.96153,1.0496,4.5226,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG16,purF,4,49365000,46061000,3304100,63603000,38915000,24688000,4891800,489570,4402300.0,18481000,341080,18140000,12550000,0.0,12550000,Median,0.10894,0.66325,8.3783,25.643,,1.3599,0.87325,1.3566,2.0199,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG18,purE,2,97093000,91439000,5654500,193770000,116260000,77510000,23013000,2458300,20554000.0,20675000,413590,20261000,16492000,207120.0,16285000,Median,0.057086,0.65244,11.698,47.097,56.181,0.78992,0.83261,1.4709,1.0936,86.715,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG27,yibN,3,94454000,89846000,4608600,23549000,15749000,7800400,10608000,2250500,8357000.0,11071000,717740,10354000,0,0.0,0,Median,0.045944,0.49319,3.8165,12.654,,0.58143,0.6919,0.61338,1.9151,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG30,rho,10,648210000,383080000,265130000,436920000,249570000,187350000,128000000,16941000,111060000.0,83323000,1383100,81940000,53273000,199570.0,53074000,Median,0.07925,0.70983,7.5316,41.984,57.201,1.0645,0.97686,1.0913,1.467,40.404,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG44,rplQ,5,1040600000,963090000,77553000,943600000,503630000,439970000,219290000,23027000,196260000.0,261850000,4488700,257360000,282510000,117850.0,282390000,Median,0.082544,0.83115,9.6067,59.971,119.14,1.1069,1.1226,1.1018,1.1421,183.89,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG48,rplU,4,482150000,446430000,35722000,478830000,277680000,201150000,109170000,10290000,98878000.0,91355000,1567100,89788000,109080000,620090.0,108450000,Median,0.077456,0.78475,9.4491,33.387,94.352,0.98103,1.0324,1.2485,1.4506,145.63,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG51,rpmD,1,9722200,8671600,1050600,105310000,57760000,47552000,40736000,3574300,37162000.0,37522000,524670,36997000,20875000,228050.0,20647000,Median,0.11904,0.8113,10.339,79.964,49.144,1.2516,1.0716,1.2054,1.5692,75.854,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG55,rplF,8,2378500000,2229500000,148930000,3403100000,1806400000,1596700000,1409500000,141630000,1267900000.0,646440000,13524000,632910000,711610000,4347900.0,707260000,Median,0.081547,0.87073,8.612,57.658,698.13,1.09,1.0924,0.99451,1.114,1077.6,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG59,rpsN,5,213110000,195910000,17200000,101900000,48626000,53271000,46739000,9614500,37124000.0,40051000,2130800,37921000,80595000,5980600.0,74614000,Median,0.086205,0.91876,6.2048,16.926,5.0059,1.1689,1.209,0.84398,1.1882,7.7267,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG63,rpsQ,5,166010000,150830000,15175000,298360000,158870000,139490000,83924000,7349300,76574000.0,56068000,2104300,53964000,42075000,0.0,42075000,Median,0.095534,0.86004,7.5471,32.905,,1.1431,1.1381,1.0473,2.0702,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG67,rpsA,28,3320400000,3049800000,270630000,3666600000,2055300000,1611300000,1146400000,122940000,1023500000.0,1113500000,21001000,1092500000,826970000,2808600.0,824160000,Median,0.080497,0.80369,8.803,56.168,1601.1,1.0717,1.0493,1.081,1.1688,5809.1,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG78,sbp,7,9692400,8223500,1468900,34071000,13436000,20635000,10334000,1097100,9236700.0,3853200,193120,3660100,11380000,28991.0,11351000,Median,0.2137,1.6734,6.2811,21.49,66.044,2.2451,2.2816,0.86865,5.1912,101.94,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG80,ugpB,8,17203000,15702000,1501100,25272000,14291000,10981000,10722000,1249500,9472300.0,19956000,226170,19730000,4674500,133910.0,4540600,Median,0.093672,0.63434,7.7635,8.6917,13.373,1.125,0.8664,1.0604,1.1016,20.642,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG82,pstS,8,43891000,40582000,3309100,24406000,12317000,12089000,20521000,2430200,18091000.0,27524000,339300,27185000,0,0.0,0,Median,0.096174,0.85778,8.0332,41.638,,0.96308,1.1874,1.2229,2.9667,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG84,yghA,9,36999000,35667000,1331900,40160000,27310000,12850000,8891300,1224700,7666700.0,11249000,231110,11017000,6838300,74042.0,6764200,Median,0.045222,0.46491,4.2626,37.866,23.371,0.52679,0.64967,0.70446,1.5721,36.073,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG86,secB,2,408170000,377140000,31026000,321430000,189420000,132010000,125040000,14133000,110910000.0,105510000,1010700,104500000,48343000,0.0,48343000,Median,0.082693,0.71341,7.4388,63.394,,1.1009,0.90028,0.9405,1.1159,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AG93,secF,1,13053000,12256000,797680,21770000,13970000,7800100,3591200,1123000,2468200.0,0,0,0,0,0.0,0,Median,0.058735,0.54111,1.3219,,,0.65872,0.75116,0.22342,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AGA2,secY,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,Median,,,,,,,,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
P0AGD1,sodC,1,0,0,0,6902400,3803900,3098500,0,0,0.0,0,0,0,0,0.0,0,Median,,0.7954,,,,,1.0651,,,,titration,20170506,na,na,MG1655deltalysA,M9glucose,na,3,orbitrap_elite,na
